category,id,short,long,user,logo,link,publink,description,resource_type,scientific_purpose,taxonomic_coverage,realm_and_geographic_coverage,spatial_representation_and_resolution,temporal_extent_and_resolution,data_types_and_scales,data_origin_and_lineage,access,license,version_updates,strengths,limitations,recommended_use,prominence,publication,audit
Fossil occurrences and paleontological records,,GBDB,Geobiodiversity Database,core,gbdb.png,http://www.geobiodiversity.com/,,Fossil occurrence and stratigraphic-section database with particularly strong Chinese and East Asian coverage.,primary database or curated data infrastructure,"Quaternary range shifts, extinction and community change.",Mammals.,terrestrial; spatial extent: continental or regional; geography: North America.,Regional terrestrial.; Localities and assemblages.,"Pliocene to Recent in expanded versions, strongest late Quaternary.; Locality and broad time-bin level.","Taxa, sites, chronology and source references.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Legacy data increasingly accessed through Neotoma and derivatives.,Archived web downloads and partial integration into Neotoma.; formats: Database tables and archive files.; interface: See the official resource documentation for current programmatic interfaces.,Open archival research use with citation.; registration: Not reported in the baseline catalogue.,Archived; no longer primary active platform.,Historically important regional mammal assemblages.,"Older taxonomy, coarse ages and likely duplication with Neotoma. Not reported.","Quaternary range shifts, extinction and community change.","Important historical regional resource.; evidence: high for official fields, otherwise as stated in the verification note",Graham & Lundelius. FAUNMAP documentation.,retained and standardised; verified 2026-07-14.
Fossil occurrences and paleontological records,,Mikrotax,Mikrotax,core,microtax.jpg,https://www.mikrotax.org/,,"Expert taxonomic portals for major microfossil groups, with images, synonymies, descriptions and stratigraphic ranges.",primary database or curated data infrastructure,"Biostratigraphy, section correlation, regional diversity and global fossil synthesis.",Broad fossil taxonomic coverage.,mixed or not inherently biological; spatial extent: global; geography: Global; strongest in China and adjacent regions.,"Global with East Asian emphasis.; Collections, beds and measured sections.",Mainly Phanerozoic.; Occurrence and stratigraphic level.,"Occurrences, sections, taxonomy, ages, formations and bibliography.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Complementary to PBDB and an upstream source for some BioDeepTime series.,Web portal and exports.; formats: Tabular exports; database downloads where offered.; interface: See the official resource documentation for current programmatic interfaces.,Research use; current portal conditions should be checked.; registration: Not reported in the baseline catalogue.,"Active, but interface availability can vary.",Detailed stratigraphic architecture and underrepresented Asian records.,Less transparent bulk workflow and uneven English documentation. Not reported.,"Biostratigraphy, section correlation, regional diversity and global fossil synthesis.","Major specialist infrastructure.; evidence: high for official fields, otherwise as stated in the verification note",Geobiodiversity Database and associated data papers.,retained and standardised; verified 2026-07-14.
Fossil occurrences and paleontological records,,Neotoma,Neotoma Paleoecology Database,core,packrat-logo.svg,https://www.neotomadb.org/,,"Community-curated multiproxy palaeoecological database organised around sites, datasets, samples, chronology and observations.",primary database or curated data infrastructure,"Identification, taxonomic harmonisation and biostratigraphic range calibration.","Planktonic foraminifera, calcareous nannofossils and selected microfossils.",mixed or not inherently biological; spatial extent: global; geography: Global.,"Global reference resource.; Taxon pages and range records, not primarily georeferenced occurrences.","Mesozoic and Cenozoic, varying by module.; Taxon-level range information.","Taxonomy, images, descriptions, ranges, references and keys.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Supplies accepted names and stratigraphic context to occurrence databases and studies.,Web portal and some downloadable tables.; formats: HTML and tabular exports.; interface: See the official resource documentation for current programmatic interfaces.,Open reference use with citation.; registration: Not reported in the baseline catalogue.,Actively maintained by specialist communities.,"High taxonomic quality, imagery and expert documentation.",Not a complete occurrence database; module coverage and download options differ. Not reported.,"Identification, taxonomic harmonisation and biostratigraphic range calibration.","Widely used specialist reference.; evidence: high for official fields, otherwise as stated in the verification note",Mikrotax project and module-specific publications.,retained and standardised; verified 2026-07-14.
Fossil occurrences and paleontological records,,NSB,Neptune Sandbox Berlin,core,neptunedb.png,https://zenodo.org/records/10063218,https://palaeo-electronica.org/content/2020/2966-the-nsb-database,Marine planktonic microfossil occurrence and deep-sea stratigraphy database built from ocean-drilling cores.,primary database or curated data infrastructure,"Quaternary palaeoecology, range shifts, vegetation history and fossil-community analysis.","Pollen, plant macrofossils, vertebrates, insects, diatoms, ostracods and other proxies.","freshwater, terrestrial; spatial extent: global; geography: Global, strongest in North America and Europe.","Global; terrestrial, freshwater and some coastal records.; Sites, cores and dated stratigraphic samples.",Primarily late Neogene and Quaternary.; Sample level; years to millennia depending on archive.,"Counts, percentages, presence, chronologies, site metadata and references.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.","Compiled from the origins described in the resource documentation and lineage note. Hosts or succeeds several legacy pollen, plant-macrofossil and vertebrate databases; feeds BioDeepTime.","Web portal, API and R packages.; formats: JSON/API and tabular downloads.; interface: See the official resource documentation for current programmatic interfaces.","Open, with dataset-specific investigator and constituent-database citation.; registration: Not reported in the baseline catalogue.",Actively maintained.,Strong sample and chronology structure with expert curation.,Heterogeneous age models and proxy methods; uneven global coverage and revised chronologies. Not reported.,"Quaternary palaeoecology, range shifts, vegetation history and fossil-community analysis.","Foundational palaeoecology infrastructure.; evidence: high for official fields, otherwise as stated in the verification note",Williams et al. Neotoma Paleoecology Database.,retained and standardised; verified 2026-07-14.
Fossil occurrences and paleontological records,,NOW,New and Old Worlds Fossil Mammal Database,core,now.png,https://nowdatabase.org/,,"Database of Cenozoic land-mammal localities, faunal lists, taxonomy and selected ecological or morphological attributes.",primary database or curated data infrastructure,"Microfossil evolution, biostratigraphy, palaeoceanography and high-resolution deep-time time series.","Foraminifera, radiolarians, diatoms, calcareous nannofossils and related microfossils.",marine; spatial extent: global; geography: Global ocean-drilling localities.,"Global oceans.; Drilling sites, cores and samples.","Mainly Cretaceous to Recent.; Sample and stratigraphic level, often sub-million-year.","Occurrences, taxonomy, depth-age models and site metadata.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Successor to Neptune and upstream source for BioDeepTime.,Publication-associated database access; current portal status uncertain.; formats: Database tables and exports where available.; interface: See the official resource documentation for current programmatic interfaces.,Research use; current access terms require confirmation.; registration: Not reported in the baseline catalogue.,Current live database availability uncertain.,High temporal resolution and specialist taxonomy.,Specialised scope; infrastructure has experienced outages; age models require expertise. Not reported.,"Microfossil evolution, biostratigraphy, palaeoceanography and high-resolution deep-time time series.","Major specialist database.; evidence: high for official fields, otherwise as stated in the verification note","Renaudie, Lazarus & Diver. NSB database of marine planktonic microfossils.",retained and standardised; verified 2026-07-14.
Fossil occurrences and paleontological records,,PBDB,The Paleobiology Database,core,paleobiodb.png,https://paleobiodb.org/,,"Community-curated global database of fossil occurrences, collections, taxonomy, stratigraphy, environments and references.",primary database or curated data infrastructure,"Mammal palaeobiogeography, community ecology, diet, body size and Neogene environmental change.",Terrestrial mammals.,terrestrial; spatial extent: global; geography: Old World emphasis plus North American records.,"Global Cenozoic, historically strongest in Europe, Asia and Africa.; Fossil localities and faunal lists.","Cenozoic, with strong Miocene and Pliocene representation.; Locality and taxon-occurrence level.","Localities, occurrences, ages, taxonomy and ecological attributes.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Partly overlaps PBDB and published mammal compilations.,Web query and tabular downloads subject to terms.; formats: CSV or database tables.; interface: See the official resource documentation for current programmatic interfaces.,Research access and citation requirements.; registration: Not reported in the baseline catalogue.,Actively maintained.,Rich curated mammal ecology and locality concepts.,"Taxon-specific, geographically uneven and not always unrestricted for bulk reuse. Not reported.","Mammal palaeobiogeography, community ecology, diet, body size and Neogene environmental change.","Core specialist resource.; evidence: high for official fields, otherwise as stated in the verification note",NOW database and Fortelius-led synthesis papers.,retained and standardised; verified 2026-07-14.
Fossil occurrences and paleontological records,,PARED,PaleoReefs Database,core,paleoreefs.png,https://www.paleo-reefs.pal.uni-erlangen.de/,,"Standardised compilation of Phanerozoic reef sites with geological, palaeogeographic and biological attributes.",primary database or curated data infrastructure,"Macroevolution, diversity dynamics, palaeobiogeography, extinction and sampling-bias analyses.",All major fossil organism groups.,"marine, freshwater, terrestrial; spatial extent: global; geography: Global, with literature and collection biases.","Global; marine, terrestrial and freshwater.; Collection and occurrence localities; geological units and intervals.","Precambrian to Recent, strongest in the Phanerozoic.; Occurrence or collection event; numerical ages or intervals.","Occurrences, collections, taxonomy, ages, environments and references.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.","Compiled from the origins described in the resource documentation and lineage note. Primary aggregator from publications and collections; reused by GBIF, BioDeepTime and many derived products.","Web portal, REST API, bulk download and R clients.; formats: CSV; JSON; API responses.; interface: See the official resource documentation for current programmatic interfaces.",Open data with record-level attribution and database citation requirements.; registration: Not reported in the baseline catalogue.,Actively maintained.,Broadest general fossil occurrence infrastructure and strong API.,"Uneven taxonomy, geography, rock record and publication effort; ages and identifications require checking. Not reported.","Macroevolution, diversity dynamics, palaeobiogeography, extinction and sampling-bias analyses.","Foundational global infrastructure.; evidence: high for official fields, otherwise as stated in the verification note",The Paleobiology Database: a public resource for palaeontological data.,retained and standardised; verified 2026-07-14.
Fossil occurrences and paleontological records,,sepkoski,R package ,core,sepkoski_r.png,https://sepkoski.palaeoverse.org/,,A data R package of Sepkoski’s fossil marine animal genera compendium,,,,,,,,,,,,,,,,,
Fossil occurrences and paleontological records,,Sepkoski Compendium,Sepkoski's Fossil Marine Animal Genera Compendium,core,sepkoski_compendium.jpg,https://strata.geology.wisc.edu/jack/,,Static genus-level compilation of first and last stratigraphic appearances for marine animal genera.,primary database or curated data infrastructure,"Reef evolution, carbonate systems, extinction selectivity and spatial-temporal reef dynamics.",Reef builders and associated communities.,"marine; spatial extent: global; geography: Global, literature-biased.",Global marine.; Reef sites and geological units.,Phanerozoic.; Reef occurrence or site; geological-stage grain varies.,"Reef age, palaeogeography, lithology, reef type and biotic composition.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Overlaps PBDB but contains reef-specific environmental descriptors.,Web portal; bulk access may require consultation.; formats: Tabular database records.; interface: See the official resource documentation for current programmatic interfaces.,Research use with citation; verify bulk terms.; registration: Not reported in the baseline catalogue.,Long-running specialist resource.,Thousands of specialised reef-site records.,Not a species-occurrence database and bulk download is limited. Not reported.,"Reef evolution, carbonate systems, extinction selectivity and spatial-temporal reef dynamics.","Major specialist database.; evidence: high for official fields, otherwise as stated in the verification note","Kiessling and collaborators, PaleoReefs database.",retained and standardised; verified 2026-07-14.
Modern species occurrences and observations,,ALA,Atlas of Living Australia,core,ala.png,https://www.ala.org.au/,,"National infrastructure integrating Australian occurrences, collections, citizen science and spatial layers.",primary database or curated data infrastructure,Long-term marine diversity and extinction curves and reproduction of classic analyses.,"Marine animals, mainly invertebrates.",marine; spatial extent: global; geography: Global literature compilation.,Global synthesis without specimen coordinates.; Genus-level ranges.,Phanerozoic.; Geological interval first and last appearances.,"Taxonomy, classification and range endpoints.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.","Compiled from the origins described in the resource documentation and lineage note. Many taxa also occur in PBDB, but this is a range-based synthesis.",R package and archived tables.; formats: R data and CSV-convertible tables.; interface: See the official resource documentation for current programmatic interfaces.,Open package; original compilation citation required.; registration: Not reported in the baseline catalogue.,Static historical dataset; maintained R packaging.,"Compact, complete and historically important.","Outdated taxonomy, no occurrences or sampling metadata. Not reported.",Long-term marine diversity and extinction curves and reproduction of classic analyses.,"Classic specialised dataset.; evidence: high for official fields, otherwise as stated in the verification note",Sepkoski. A compendium of fossil marine animal genera.,retained and standardised; verified 2026-07-14.
